index,subject_idx,method,experiment,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVSD,HRV_CVNN,HRV_TINN,HRV_HTI,HRV_SDRMSSD,HRV_pNN20,HRV_pNN50,HRV_IQRNN,HRV_LF,HRV_HF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_SampEn,HRV_TP
0,0,Elgendi_et_al,sitting,857.7681159,59.69659172,44.50539211,44.6685614,0.051885109,0.069595256,164.0625,11.5,1.341333912,59.42028986,23.1884058,68,0.019039516,0.015050259,1.265062364,0.554637432,0.438426949,-4.196360076,31.58544267,78.4860176,0.402434008,1.737271284,0.03432786
1,0,Matched_filter,sitting,858.1294964,65.95967527,72.20341635,72.46387822,0.084140467,0.076864477,328.125,11.58333333,0.913525683,62.58992806,33.81294964,76,0.023437157,0.020928487,1.119868692,0.506671571,0.452438375,-3.866644033,51.23969968,78.18257459,0.655385167,1.579837443,0.0462571
2,0,Wavelet_transform,sitting,858.4172662,64.73243696,62.38171415,62.60367177,0.072670619,0.075409057,164.0625,15.44444444,1.037682883,68.34532374,46.04316547,80,0.022384939,0.023978082,0.933558375,0.465551872,0.498685336,-3.730615107,44.26748083,80.14460643,0.552345102,1.676129287,0.048082589
3,0,Engzee,sitting,857.7681159,59.49081875,43.86841639,44.02936293,0.051142512,0.069355363,179.6875,11.5,1.356119588,57.97101449,23.1884058,71,0.022450753,0.01914787,1.172493506,0.535724187,0.456910153,-3.955563818,31.1334611,78.35625066,0.397332195,1.602269423,0.041907297
4,0,Christov,sitting,858.3021583,59.76568434,45.03139002,45.18809848,0.052465661,0.069632453,156.25,10.69230769,1.327200522,56.83453237,23.74100719,68,0.018691922,0.014641552,1.276635306,0.557169715,0.436436085,-4.223891793,31.95281086,78.22540377,0.408471025,1.762345584,0.033547986
5,0,Hamilton,sitting,852.2285714,79.24502961,67.67846113,67.92300928,0.079413509,0.092985652,468.75,11.66666667,1.17090472,65,40.71428571,72,0.020334037,0.021638313,0.939723788,0.471969728,0.502243036,-3.833289792,48.02882046,101.5536159,0.472940525,1.955388893,0.043083351
6,0,Pan_Tompkins,sitting,858.1007194,75.56754297,90.83190399,91.16189479,0.105852264,0.088063722,171.875,15.44444444,0.831949344,79.85611511,57.55395683,110,0.022918812,0.043015213,0.532807121,0.322166717,0.604659181,-3.146201424,64.46119399,85.36896603,0.755089314,2.346070205,0.071139602
7,0,WQRS,sitting,860.3165468,68.12786741,57.81730346,57.94593978,0.067204686,0.079189303,148.4375,12.63636364,1.178330073,58.27338129,22.30215827,70,0.022622591,0.018999512,1.190693245,0.539219833,0.452862092,-3.96334197,40.97396696,80.84607083,0.506814574,1.455792156,0.0419543
8,0,Elgendi_et_al,maths,836.7042254,97.75151511,157.5932461,158.1524536,0.188350006,0.116829236,265.625,15.77777778,0.620277312,85.21126761,52.81690141,96,0.031446291,0.087483739,0.359452982,0.224190215,0.623698303,-2.436302338,111.8306724,81.70695654,1.36867994,2.017369113,0.140266117
9,0,Matched_filter,maths,815.5068493,115.3029142,125.9744911,126.4029499,0.15447386,0.141388039,515.625,16.22222222,0.915287795,77.39726027,54.79452055,92,0.028380149,0.030293263,0.936846897,0.398533261,0.425398496,-3.496829934,89.38038305,136.1743502,0.656367245,1.580024027,0.071211495
10,0,Wavelet_transform,maths,833.5384615,76.70381753,97.22110708,97.50626329,0.116636618,0.092021929,476.5625,13,0.788962601,80.41958042,56.64335664,74,0.043048484,0.058531309,0.735477891,0.349336704,0.474979205,-2.838193463,68.94733998,73.37860409,0.939610951,2.022283128,0.123229204
11,0,Engzee,maths,842.647482,88.94167306,115.0586492,115.4760342,0.136544227,0.105550275,156.25,10.69230769,0.773011622,78.41726619,36.69064748,76,0.04895162,0.021712389,2.254547912,0.66991546,0.297139598,-3.829872277,81.65388687,95.96303813,0.85088893,1.574156098,0.07307134
12,0,Christov,maths,837.6056338,56.31534285,61.8467564,62.03879559,0.07383756,0.06723372,156.25,12.90909091,0.910562593,80.98591549,37.32394366,71,0.040146028,0.020037945,2.003500255,0.647306153,0.323087632,-3.910127556,43.86805306,64.66907108,0.678346732,1.920376847,0.062020155
13,0,Hamilton,maths,799.3288591,141.7728695,110.3199279,110.6858892,0.138015695,0.177364883,562.5,14.9,1.285106619,74.4966443,53.02013423,96,0.020805389,0.021761736,0.956053736,0.4288359,0.448547905,-3.827602096,78.26674281,184.8167073,0.42348305,1.278475332,0.048515968
14,0,Pan_Tompkins,maths,832.8391608,85.56141443,113.5823831,113.9507751,0.136379734,0.10273462,468.75,11.91666667,0.753298285,84.61538462,62.93706294,106,0.046651879,0.07533514,0.619257884,0.296154397,0.478240818,-2.58580859,80.57536579,79.41182241,1.014652017,2.085672091,0.157525533
15,0,WQRS,maths,840.5352113,75.74684058,82.89650045,83.04099645,0.098623471,0.090117391,218.75,12.90909091,0.91375197,79.57746479,39.43661972,76,0.047309554,0.036876009,1.282935863,0.513630381,0.400355463,-3.300194111,58.71885171,72.78329412,0.806762766,1.932426799,0.092108169
16,0,Elgendi_et_al,walking,726.6829268,63.17739715,70.3170733,70.52302843,0.096764449,0.086939427,273.4375,10.93333333,0.898464543,52.43902439,21.34146341,80,0.028708997,0.016785866,1.710307782,0.540743596,0.316167418,-4.087218058,49.86731163,73.01140218,0.683007176,1.408767217,0.053091701
17,0,Matched_filter,walking,690.4277457,128.8681575,156.6498094,157.0862321,0.226888057,0.186649738,437.5,11.53333333,0.822651224,74.56647399,45.0867052,92,0.036750561,0.076405636,0.48099281,0.233068757,0.484557674,-2.571698821,111.07674,142.0386701,0.7820176,1.209609065,0.1576812
18,0,Wavelet_transform,walking,728,68.23704623,75.46924779,75.67221436,0.103666549,0.093732206,273.4375,11.71428571,0.904170218,72.56097561,47.56097561,73,0.029160958,0.017624018,1.654614689,0.57011337,0.344559597,-4.038492676,53.50833592,75.376081,0.709884823,2.083465692,0.051149402
19,0,Engzee,walking,725.5705521,80.05360622,89.26863329,89.54392532,0.123032327,0.110331939,484.375,7.761904762,0.896771949,41.71779141,11.65644172,66,0.065711596,0.123116718,0.533734141,0.338173537,0.633599223,-2.09462245,63.31711681,94.08782588,0.672957593,0.990080013,0.194313239
20,0,Christov,walking,723.5151515,65.9974691,64.46931582,64.59090522,0.089105689,0.091217812,515.625,11.78571429,1.023703575,43.03030303,8.484848485,76,0.02739941,0.011519159,2.378594638,0.683605819,0.287399041,-4.46374362,45.67266708,70.79925487,0.645100957,1.151604819,0.040080715
21,0,Hamilton,walking,698.1520468,103.5876454,112.065527,112.393382,0.160517365,0.148374048,406.25,8.55,0.924348889,54.97076023,27.48538012,82,0.035499475,0.017874021,1.986093367,0.60553258,0.30488626,-4.02440696,79.47412261,123.186987,0.645150308,0.977508094,0.05862521
22,0,Pan_Tompkins,walking,663.0888889,144.159955,136.7936096,137.1582788,0.206297545,0.217406682,476.5625,10.58823529,1.05385007,67.22222222,46.11111111,104,0.064166497,0.072785057,0.88158889,0.39640074,0.449643529,-2.620244611,96.98554904,177.9420179,0.545040178,1.027452569,0.161872799
23,0,WQRS,walking,716.5575758,76.6441215,67.57976317,67.78531567,0.0943117,0.106961567,406.25,11.78571429,1.134128294,42.42424242,9.696969697,72,0.044920899,0.019433389,2.311531923,0.682696044,0.29534355,-3.940762608,47.93145637,97.4258175,0.491979001,1.2355446,0.065799267
24,0,Elgendi_et_al,hand_bike,676.0685714,85.69872305,120.0030651,120.338574,0.177501322,0.126760401,437.5,12.5,0.714137785,68,47.42857143,56,0.038879328,0.080244339,0.484511786,0.228777094,0.472180658,-2.522679059,85.09222174,84.12609852,1.011484227,1.268957654,0.169944147
